时间,省份,确诊,疑似,治愈,死亡
2020/1/16,山东,0,0,0,0
2020/1/16,江西,0,0,0,0
2020/1/16,河南,0,0,0,0
2020/1/16,河北,0,0,0,0
2020/1/16,山西,0,0,0,0
2020/1/16,安徽,0,0,0,0
2020/1/16,福建,0,0,0,0
2020/1/16,浙江,0,0,0,0
2020/1/16,江苏,0,0,0,0
2020/1/16,吉林,0,0,0,0
2020/1/16,辽宁,0,0,0,0
2020/1/16,台湾,0,0,0,0
2020/1/16,新疆,0,0,0,0
2020/1/16,广西,0,0,0,0
2020/1/16,宁夏,0,0,0,0
2020/1/16,内蒙古,0,0,0,0
2020/1/16,西藏,0,0,0,0
2020/1/16,北京,0,0,0,0
2020/1/16,天津,0,0,0,0
2020/1/16,上海,0,0,0,0
2020/1/16,重庆,0,0,0,0
2020/1/16,香港,0,0,0,0
2020/1/16,澳门,0,0,0,0

2020/1/17,全国,62,0,19,2
2020/1/17,广东,0,0,0,0
2020/1/17,青海,0,0,0,0
2020/1/17,四川,0,0,0,0
2020/1/17,海南,0,0,0,0
2020/1/17,陕西,0,0,0,0
2020/1/17,甘肃,0,0,0,0
2020/1/17,云南,0,0,0,0
2020/1/17,湖南,0,0,0,0
2020/1/17,湖北,62,0,19,2
2020/1/17,黑龙江,0,0,0,0
2020/1/17,贵州,0,0,0,0
2020/1/17,山东,0,0,0,0
2020/1/17,江西,0,0,0,0
2020/1/17,河南,0,0,0,0
2020/1/17,河北,0,0,0,0
2020/1/17,山西,0,0,0,0
2020/1/17,安徽,0,0,0,0
2020/1/17,福建,0,0,0,0
2020/1/17,浙江,0,0,0,0
2020/1/17,江苏,0,0,0,0
2020/1/17,吉林,0,0,0,0
2020/1/17,辽宁,0,0,0,0
2020/1/17,台湾,0,0,0,0
2020/1/17,新疆,0,0,0,0
2020/1/17,广西,0,0,0,0
2020/1/17,宁夏,0,0,0,0
2020/1/17,内蒙古,0,0,0,0
2020/1/17,西藏,0,0,0,0
2020/1/17,北京,0,0,0,0
2020/1/17,天津,0,0,0,0
2020/1/17,上海,0,0,0,0
2020/1/17,重庆,0,0,0,0
2020/1/17,香港,0,0,0,0
2020/1/17,澳门,0,0,0,0

2020/1/18,全国,198,0,25,3
2020/1/18,广东,0,0,0,0
2020/1/18,青海,0,0,0,0
2020/1/18,四川,0,0,0,0
2020/1/18,海南,0,0,0,0
2020/1/18,陕西,0,0,0,0
2020/1/18,甘肃,0,0,0,0
